Rubro;Dia;Mes;Anio;CodProducto;Nombre;Precio;Cantidad
CREMAS HELADAS 5KG;8;11;2019;528;Producto 528;825;1
CREMAS HELADAS 5KG;8;11;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;8;11;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;9;11;2019;511;Producto 511;825;3
CREMAS HELADAS 5KG;9;11;2019;402;Producto 402;1238;1
CREMAS HELADAS 5KG;9;11;2019;508;Producto 508;1238;1
CREMAS HELADAS 5KG;9;11;2019;531;Producto 531;1238;2
CREMAS HELADAS 5KG;9;11;2019;528;Producto 528;825;2
CREMAS HELADAS 5KG;9;11;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;9;11;2019;508;Producto 508;1238;1
CREMAS HELADAS 5KG;9;11;2019;531;Producto 531;1238;2
CREMAS HELADAS 5KG;9;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;9;11;2019;528;Producto 528;825;3
CREMAS HELADAS 5KG;9;11;2019;511;Producto 511;825;6
CREMAS HELADAS 5KG;9;11;2019;402;Producto 402;1238;6
CREMAS HELADAS 5KG;9;11;2019;508;Producto 508;1238;3
CREMAS HELADAS 5KG;9;11;2019;531;Producto 531;1238;6
CREMAS HELADAS 5KG;9;11;2019;505;Producto 505;1238;3
CREMAS HELADAS 5KG;9;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;9;11;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;9;11;2019;531;Producto 531;1238;2
CREMAS HELADAS 5KG;9;11;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;9;11;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;9;11;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;9;11;2019;514;Producto 514;825;1
CREMAS HELADAS 5KG;9;11;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;9;11;2019;537;Producto 537;1238;3
CREMAS HELADAS 5KG;9;11;2019;517;Producto 517;1238;3
CREMAS HELADAS 5KG;9;11;2019;514;Producto 514;825;3
CREMAS HELADAS 5KG;9;11;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;9;11;2019;536;Producto 536;1238;2
CREMAS HELADAS 5KG;9;11;2019;536;Producto 536;1238;1
CREMAS HELADAS 5KG;9;11;2019;536;Producto 536;1238;6
CREMAS HELADAS 5KG;9;11;2019;536;Producto 536;1238;1
CREMAS HELADAS 5KG;9;11;2019;536;Producto 536;1238;1
CREMAS HELADAS 5KG;9;11;2019;539;Producto 539;1238;1
CREMAS HELADAS 5KG;9;11;2019;539;Producto 539;1238;7
CREMAS HELADAS 5KG;9;11;2019;539;Producto 539;1238;1
CREMAS HELADAS 5KG;9;11;2019;533;Producto 533;1238;1
CREMAS HELADAS 5KG;9;11;2019;533;Producto 533;1238;2
CREMAS HELADAS 5KG;9;11;2019;533;Producto 533;1238;1
CREMAS HELADAS 5KG;9;11;2019;533;Producto 533;1238;1
CREMAS HELADAS 5KG;9;11;2019;513;Producto 513;1238;2
CREMAS HELADAS 5KG;9;11;2019;513;Producto 513;1238;5
CREMAS HELADAS 5KG;9;11;2019;513;Producto 513;1238;4
CREMAS HELADAS 5KG;9;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;9;11;2019;513;Producto 513;1238;3
CREMAS HELADAS 5KG;9;11;2019;527;Producto 527;1238;2
CREMAS HELADAS 5KG;9;11;2019;527;Producto 527;1238;2
CREMAS HELADAS 5KG;9;11;2019;527;Producto 527;1238;6
CREMAS HELADAS 5KG;9;11;2019;527;Producto 527;1238;1
CREMAS HELADAS 5KG;9;11;2019;527;Producto 527;1238;1
CREMAS HELADAS 5KG;9;11;2019;522;Producto 522;825;1
CREMAS HELADAS 5KG;9;11;2019;522;Producto 522;825;3
CREMAS HELADAS 5KG;9;11;2019;519;Producto 519;1238;2
CREMAS HELADAS 5KG;9;11;2019;519;Producto 519;1238;5
CREMAS HELADAS 5KG;9;11;2019;519;Producto 519;1238;12
CREMAS HELADAS 5KG;9;11;2019;519;Producto 519;1238;1
CREMAS HELADAS 5KG;9;11;2019;519;Producto 519;1238;2
CREMAS HELADAS 5KG;9;11;2019;510;Producto 510;1238;2
CREMAS HELADAS 5KG;9;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;9;11;2019;510;Producto 510;1238;6
CREMAS HELADAS 5KG;9;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;9;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;9;11;2019;530;Producto 530;1238;1
CREMAS HELADAS 5KG;9;11;2019;530;Producto 530;1238;1
CREMAS HELADAS 5KG;9;11;2019;530;Producto 530;1238;1
CREMAS HELADAS 5KG;9;11;2019;507;Producto 507;1238;3
CREMAS HELADAS 5KG;9;11;2019;507;Producto 507;1238;2
CREMAS HELADAS 5KG;9;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;9;11;2019;507;Producto 507;1238;6
CREMAS HELADAS 5KG;9;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;9;11;2019;507;Producto 507;1238;2
CREMAS HELADAS 5KG;9;11;2019;502;Producto 502;1238;1
CREMAS HELADAS 5KG;9;11;2019;502;Producto 502;1238;2
CREMAS HELADAS 5KG;9;11;2019;502;Producto 502;1238;3
CREMAS HELADAS 5KG;9;11;2019;502;Producto 502;1238;1
CREMAS HELADAS 5KG;9;11;2019;525;Producto 525;1238;1
CREMAS HELADAS 5KG;9;11;2019;525;Producto 525;1238;1
CREMAS HELADAS 5KG;9;11;2019;525;Producto 525;1238;3
CREMAS HELADAS 5KG;9;11;2019;504;Producto 504;1238;2
CREMAS HELADAS 5KG;9;11;2019;504;Producto 504;1238;3
CREMAS HELADAS 5KG;9;11;2019;516;Producto 516;825;2
CREMAS HELADAS 5KG;9;11;2019;503;Producto 503;1238;5
CREMAS HELADAS 5KG;9;11;2019;403;Producto 403;1238;1
CREMAS HELADAS 5KG;9;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;9;11;2019;526;Producto 526;1238;12
CREMAS HELADAS 5KG;9;11;2019;503;Producto 503;1238;21
CREMAS HELADAS 5KG;9;11;2019;543;Producto 543;1238;4
CREMAS HELADAS 5KG;9;11;2019;506;Producto 506;825;3
CREMAS HELADAS 5KG;9;11;2019;403;Producto 403;1238;6
CREMAS HELADAS 5KG;9;11;2019;523;Producto 523;1238;6
CREMAS HELADAS 5KG;9;11;2019;523;Producto 523;1238;1
CREMAS HELADAS 5KG;9;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;9;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;9;11;2019;503;Producto 503;1238;3
CREMAS HELADAS 5KG;9;11;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;9;11;2019;403;Producto 403;1238;1
CREMAS HELADAS 5KG;9;11;2019;523;Producto 523;1238;1
CREMAS HELADAS 5KG;9;11;2019;503;Producto 503;1238;3
CREMAS HELADAS 5KG;9;11;2019;529;Producto 529;1238;2
CREMAS HELADAS 5KG;9;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;9;11;2019;512;Producto 512;1238;3
CREMAS HELADAS 5KG;9;11;2019;406;Producto 406;1238;1
CREMAS HELADAS 5KG;9;11;2019;509;Producto 509;1238;2
CREMAS HELADAS 5KG;9;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;9;11;2019;515;Producto 515;1238;2
CREMAS HELADAS 5KG;9;11;2019;512;Producto 512;1238;5
CREMAS HELADAS 5KG;9;11;2019;406;Producto 406;1238;2
CREMAS HELADAS 5KG;9;11;2019;509;Producto 509;1238;2
CREMAS HELADAS 5KG;9;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;9;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;9;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;9;11;2019;529;Producto 529;1238;3
CREMAS HELADAS 5KG;9;11;2019;515;Producto 515;1238;3
CREMAS HELADAS 5KG;9;11;2019;512;Producto 512;1238;12
CREMAS HELADAS 5KG;9;11;2019;406;Producto 406;1238;3
CREMAS HELADAS 5KG;9;11;2019;509;Producto 509;1238;3
CREMAS HELADAS 5KG;9;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;9;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;9;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;9;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;9;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;9;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;9;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;9;11;2019;529;Producto 529;1238;2
CREMAS HELADAS 5KG;9;11;2019;538;Producto 538;1238;1
CREMAS HELADAS 5KG;9;11;2019;521;Producto 521;1238;1
CREMAS HELADAS 5KG;9;11;2019;501;Producto 501;1238;1
CREMAS HELADAS 5KG;9;11;2019;501;Producto 501;1238;1
CREMAS HELADAS 5KG;9;11;2019;501;Producto 501;1238;2
CREMAS HELADAS 5KG;9;11;2019;518;Producto 518;825;1
CREMAS HELADAS 5KG;9;11;2019;501;Producto 501;1238;2
CREMAS HELADAS 5KG;9;11;2019;538;Producto 538;1238;3
CREMAS HELADAS 5KG;9;11;2019;521;Producto 521;1238;6
CREMAS HELADAS 5KG;9;11;2019;501;Producto 501;1238;4
CREMAS HELADAS 5KG;11;11;2019;501;Producto 501;1238;2
CREMAS HELADAS 5KG;11;11;2019;501;Producto 501;1238;1
CREMAS HELADAS 5KG;11;11;2019;521;Producto 521;1238;1
CREMAS HELADAS 5KG;11;11;2019;501;Producto 501;1238;1
CREMAS HELADAS 5KG;11;11;2019;521;Producto 521;825;1
CREMAS HELADAS 5KG;11;11;2019;518;Producto 518;825;1
CREMAS HELADAS 5KG;11;11;2019;521;Producto 521;1238;1
CREMAS HELADAS 5KG;11;11;2019;512;Producto 512;1238;3
CREMAS HELADAS 5KG;11;11;2019;509;Producto 509;1238;2
CREMAS HELADAS 5KG;11;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;11;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;11;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;11;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;11;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;11;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;11;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;11;11;2019;512;Producto 512;1238;2
CREMAS HELADAS 5KG;11;11;2019;406;Producto 406;1238;1
CREMAS HELADAS 5KG;11;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;11;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;11;11;2019;526;Producto 526;1238;4
CREMAS HELADAS 5KG;11;11;2019;403;Producto 403;1238;1
CREMAS HELADAS 5KG;11;11;2019;523;Producto 523;1238;2
CREMAS HELADAS 5KG;11;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;11;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;11;11;2019;523;Producto 523;1238;1
CREMAS HELADAS 5KG;11;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;11;11;2019;526;Producto 526;1238;3
CREMAS HELADAS 5KG;11;11;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;11;11;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;11;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;11;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;11;11;2019;523;Producto 523;825;1
CREMAS HELADAS 5KG;11;11;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;11;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;11;11;2019;403;Producto 403;1238;1
CREMAS HELADAS 5KG;11;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;11;11;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;11;11;2019;403;Producto 403;1238;1
CREMAS HELADAS 5KG;11;11;2019;516;Producto 516;825;1
CREMAS HELADAS 5KG;11;11;2019;502;Producto 502;1238;2
CREMAS HELADAS 5KG;11;11;2019;502;Producto 502;1238;1
CREMAS HELADAS 5KG;11;11;2019;502;Producto 502;1238;1
CREMAS HELADAS 5KG;11;11;2019;502;Producto 502;1238;1
CREMAS HELADAS 5KG;11;11;2019;502;Producto 502;1238;2
CREMAS HELADAS 5KG;11;11;2019;507;Producto 507;1238;2
CREMAS HELADAS 5KG;11;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;11;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;11;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;11;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;11;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;11;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;11;11;2019;530;Producto 530;1238;1
CREMAS HELADAS 5KG;11;11;2019;510;Producto 510;1238;2
CREMAS HELADAS 5KG;11;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;11;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;11;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;11;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;11;11;2019;519;Producto 519;1238;2
CREMAS HELADAS 5KG;11;11;2019;519;Producto 519;1238;1
CREMAS HELADAS 5KG;11;11;2019;519;Producto 519;1238;2
CREMAS HELADAS 5KG;11;11;2019;519;Producto 519;1238;1
CREMAS HELADAS 5KG;11;11;2019;519;Producto 519;1238;1
CREMAS HELADAS 5KG;11;11;2019;522;Producto 522;825;1
CREMAS HELADAS 5KG;11;11;2019;527;Producto 527;1238;1
CREMAS HELADAS 5KG;11;11;2019;527;Producto 527;1238;1
CREMAS HELADAS 5KG;11;11;2019;527;Producto 527;1238;2
CREMAS HELADAS 5KG;11;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;11;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;11;11;2019;513;Producto 513;1238;2
CREMAS HELADAS 5KG;11;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;11;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;11;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;11;11;2019;533;Producto 533;1238;2
CREMAS HELADAS 5KG;11;11;2019;533;Producto 533;1238;1
CREMAS HELADAS 5KG;11;11;2019;539;Producto 539;1238;1
CREMAS HELADAS 5KG;11;11;2019;539;Producto 539;1238;1
CREMAS HELADAS 5KG;11;11;2019;539;Producto 539;1238;1
CREMAS HELADAS 5KG;11;11;2019;536;Producto 536;1238;2
CREMAS HELADAS 5KG;11;11;2019;536;Producto 536;1238;1
CREMAS HELADAS 5KG;11;11;2019;536;Producto 536;1238;1
CREMAS HELADAS 5KG;11;11;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;11;11;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;11;11;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;11;11;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;11;11;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;11;11;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;11;11;2019;514;Producto 514;825;1
CREMAS HELADAS 5KG;11;11;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;11;11;2019;511;Producto 511;825;3
CREMAS HELADAS 5KG;11;11;2019;402;Producto 402;1238;2
CREMAS HELADAS 5KG;11;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;11;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;11;11;2019;511;Producto 511;825;3
CREMAS HELADAS 5KG;11;11;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;11;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;11;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;11;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;11;11;2019;402;Producto 402;1238;1
CREMAS HELADAS 5KG;11;11;2019;508;Producto 508;1238;1
CREMAS HELADAS 5KG;11;11;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;11;11;2019;402;Producto 402;1238;2
CREMAS HELADAS 5KG;11;11;2019;528;Producto 528;825;1
CREMAS HELADAS 5KG;12;11;2019;528;Producto 528;825;1
CREMAS HELADAS 5KG;12;11;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;12;11;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;12;11;2019;528;Producto 528;1238;1
CREMAS HELADAS 5KG;12;11;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;12;11;2019;402;Producto 402;1238;1
CREMAS HELADAS 5KG;12;11;2019;531;Producto 531;1238;2
CREMAS HELADAS 5KG;12;11;2019;511;Producto 511;825;2
CREMAS HELADAS 5KG;12;11;2019;402;Producto 402;1238;1
CREMAS HELADAS 5KG;12;11;2019;531;Producto 531;1238;1
CREMAS HELADAS 5KG;12;11;2019;531;Producto 531;1238;2
CREMAS HELADAS 5KG;12;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;12;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;12;11;2019;511;Producto 511;825;1
CREMAS HELADAS 5KG;12;11;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;12;11;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;12;11;2019;520;Producto 520;1238;1
CREMAS HELADAS 5KG;12;11;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;12;11;2019;514;Producto 514;825;1
CREMAS HELADAS 5KG;12;11;2019;537;Producto 537;1238;1
CREMAS HELADAS 5KG;12;11;2019;517;Producto 517;1238;1
CREMAS HELADAS 5KG;12;11;2019;536;Producto 536;1238;2
CREMAS HELADAS 5KG;12;11;2019;539;Producto 539;1238;2
CREMAS HELADAS 5KG;12;11;2019;533;Producto 533;1238;1
CREMAS HELADAS 5KG;12;11;2019;533;Producto 533;1238;1
CREMAS HELADAS 5KG;12;11;2019;513;Producto 513;1238;2
CREMAS HELADAS 5KG;12;11;2019;513;Producto 513;1238;3
CREMAS HELADAS 5KG;12;11;2019;513;Producto 513;1238;4
CREMAS HELADAS 5KG;12;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;12;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;12;11;2019;513;Producto 513;1238;1
CREMAS HELADAS 5KG;12;11;2019;527;Producto 527;1238;2
CREMAS HELADAS 5KG;12;11;2019;522;Producto 522;825;1
CREMAS HELADAS 5KG;12;11;2019;521;Producto 521;1238;1
CREMAS HELADAS 5KG;12;11;2019;521;Producto 521;825;1
CREMAS HELADAS 5KG;12;11;2019;521;Producto 521;825;1
CREMAS HELADAS 5KG;12;11;2019;519;Producto 519;1238;2
CREMAS HELADAS 5KG;12;11;2019;519;Producto 519;1238;2
CREMAS HELADAS 5KG;12;11;2019;519;Producto 519;1238;3
CREMAS HELADAS 5KG;12;11;2019;519;Producto 519;1238;2
CREMAS HELADAS 5KG;12;11;2019;519;Producto 519;1238;1
CREMAS HELADAS 5KG;12;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;12;11;2019;510;Producto 510;1238;2
CREMAS HELADAS 5KG;12;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;12;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;12;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;12;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;12;11;2019;510;Producto 510;1238;1
CREMAS HELADAS 5KG;12;11;2019;530;Producto 530;1238;2
CREMAS HELADAS 5KG;12;11;2019;530;Producto 530;1238;1
CREMAS HELADAS 5KG;12;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;12;11;2019;507;Producto 507;1238;2
CREMAS HELADAS 5KG;12;11;2019;507;Producto 507;1238;1
CREMAS HELADAS 5KG;12;11;2019;507;Producto 507;1238;2
CREMAS HELADAS 5KG;12;11;2019;507;Producto 507;1238;2
CREMAS HELADAS 5KG;12;11;2019;502;Producto 502;1238;2
CREMAS HELADAS 5KG;12;11;2019;502;Producto 502;1238;2
CREMAS HELADAS 5KG;12;11;2019;502;Producto 502;1238;2
CREMAS HELADAS 5KG;12;11;2019;502;Producto 502;1238;1
CREMAS HELADAS 5KG;12;11;2019;502;Producto 502;1238;1
CREMAS HELADAS 5KG;12;11;2019;525;Producto 525;1238;1
CREMAS HELADAS 5KG;12;11;2019;504;Producto 504;1238;1
CREMAS HELADAS 5KG;12;11;2019;504;Producto 504;1238;1
CREMAS HELADAS 5KG;12;11;2019;526;Producto 526;1238;4
CREMAS HELADAS 5KG;12;11;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;12;11;2019;506;Producto 506;825;1
CREMAS HELADAS 5KG;12;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;12;11;2019;526;Producto 526;1238;4
CREMAS HELADAS 5KG;12;11;2019;503;Producto 503;1238;3
CREMAS HELADAS 5KG;12;11;2019;523;Producto 523;1238;1
CREMAS HELADAS 5KG;12;11;2019;526;Producto 526;1238;5
CREMAS HELADAS 5KG;12;11;2019;503;Producto 503;1238;4
CREMAS HELADAS 5KG;12;11;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;12;11;2019;403;Producto 403;1238;1
CREMAS HELADAS 5KG;12;11;2019;523;Producto 523;1238;1
CREMAS HELADAS 5KG;12;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;12;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;12;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;12;11;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;12;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;12;11;2019;529;Producto 529;1238;2
CREMAS HELADAS 5KG;12;11;2019;512;Producto 512;1238;2
CREMAS HELADAS 5KG;12;11;2019;509;Producto 509;1238;2
CREMAS HELADAS 5KG;12;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;12;11;2019;512;Producto 512;1238;4
CREMAS HELADAS 5KG;12;11;2019;509;Producto 509;1238;2
CREMAS HELADAS 5KG;12;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;12;11;2019;512;Producto 512;1238;4
CREMAS HELADAS 5KG;12;11;2019;509;Producto 509;1238;3
CREMAS HELADAS 5KG;12;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;12;11;2019;512;Producto 512;1238;2
CREMAS HELADAS 5KG;12;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;12;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;12;11;2019;501;Producto 501;1238;2
CREMAS HELADAS 5KG;12;11;2019;538;Producto 538;1238;1
CREMAS HELADAS 5KG;13;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;13;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;5
CREMAS HELADAS 5KG;13;11;2019;406;Producto 406;1238;1
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;2
CREMAS HELADAS 5KG;13;11;2019;406;Producto 406;1238;1
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;13;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;13;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;2
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;13;11;2019;515;Producto 515;1125;2
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1125;3
CREMAS HELADAS 5KG;13;11;2019;529;Producto 529;1238;4
CREMAS HELADAS 5KG;13;11;2019;515;Producto 515;1238;5
CREMAS HELADAS 5KG;13;11;2019;406;Producto 406;1238;2
CREMAS HELADAS 5KG;13;11;2019;529;Producto 529;1238;2
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;2
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;2
CREMAS HELADAS 5KG;13;11;2019;529;Producto 529;1238;3
CREMAS HELADAS 5KG;13;11;2019;406;Producto 406;1238;1
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;2
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;4
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;13;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;13;11;2019;529;Producto 529;1238;2
CREMAS HELADAS 5KG;13;11;2019;515;Producto 515;1238;1
CREMAS HELADAS 5KG;13;11;2019;512;Producto 512;1238;3
CREMAS HELADAS 5KG;13;11;2019;509;Producto 509;1238;1
CREMAS HELADAS 5KG;13;11;2019;529;Producto 529;1238;1
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1238;3
CREMAS HELADAS 5KG;13;11;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;13;11;2019;503;Producto 503;1238;3
CREMAS HELADAS 5KG;13;11;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;13;11;2019;506;Producto 506;825;1
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;13;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;13;11;2019;403;Producto 403;1238;2
CREMAS HELADAS 5KG;13;11;2019;523;Producto 523;1238;2
CREMAS HELADAS 5KG;13;11;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;13;11;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;13;11;2019;506;Producto 506;825;1
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1238;4
CREMAS HELADAS 5KG;13;11;2019;403;Producto 403;1238;3
CREMAS HELADAS 5KG;13;11;2019;523;Producto 523;1238;2
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1238;4
CREMAS HELADAS 5KG;13;11;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;13;11;2019;506;Producto 506;825;1
CREMAS HELADAS 5KG;13;11;2019;403;Producto 403;1238;1
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1125;2
CREMAS HELADAS 5KG;13;11;2019;523;Producto 523;750;1
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1238;4
CREMAS HELADAS 5KG;13;11;2019;503;Producto 503;1238;3
CREMAS HELADAS 5KG;13;11;2019;543;Producto 543;1238;2
CREMAS HELADAS 5KG;13;11;2019;403;Producto 403;1238;2
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;13;11;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;13;11;2019;526;Producto 526;1238;5
